,Country,Year,Total Production,Exportable Production
0,Angola,1990/91,50.345,30.345
1,Bolivia,1990/91,122.777,97.777
2,Brazil,1990/91,27285.6286,19085.6286
3,Burundi,1990/91,487.39300000000003,485.39300000000003
4,Ecuador,1990/91,1503.815,1153.815
5,Indonesia,1990/91,7441.383000000001,6199.383000000001
6,Madagascar,1990/91,982.447,632.447
7,Malawi,1990/91,104.62799999999999,102.62799999999999
8,Papua New Guinea,1990/91,962.841,959.841
9,Paraguay,1990/91,130.627,115.62700000000001
10,Peru,1990/91,936.632,746.632
11,Rwanda,1990/91,534.875,533.875
12,Timor-Leste,1990/91,,0.0
13,Zimbabwe,1990/91,251.90099999999998,243.90099999999998
14,"Congo, Rep. of",1990/91,2.924,0.0
15,Cuba,1990/91,414.212,201.21200000000002
16,Dominican Republic,1990/91,880.062,560.062
17,Haiti,1990/91,392.88,172.88
18,Philippines,1990/91,973.632,253.632
19,Tanzania,1990/91,931.779,927.779
20,Zambia,1990/91,22.686,21.186
21,Benin,1990/91,0.0,0.0
22,Cameroon,1990/91,1682.484,1599.184
23,Central African Republic,1990/91,175.274,147.274
24,Colombia,1990/91,14268.386999999999,13033.386999999999
25,"Congo, Dem. Rep. of",1990/91,1580.296,1380.296
26,Costa Rica,1990/91,2561.885,2186.885
27,Côte d'Ivoire,1990/91,2940.363,2890.363
28,El Salvador,1990/91,2464.864,2284.864
29,Equatorial Guinea,1990/91,3.536,3.536
30,Ethiopia,1990/91,2909.4509999999996,1709.451
31,Gabon,1990/91,3.408,1.7080000000000002
32,Ghana,1990/91,37.855,20.855
33,Guatemala,1990/91,3270.5290000000005,2970.5290000000005
34,Guinea,1990/91,44.46,19.46
35,Guyana,1990/91,,0.0
36,Honduras,1990/91,1567.9579999999999,1379.8039999999999
37,India,1990/91,2828.687,1925.6870000000001
38,Jamaica,1990/91,22.574,15.574000000000002
39,Kenya,1990/91,1485.135,1435.135
40,"Lao, People's Dem. Rep. of",1990/91,,0.0
41,Liberia,1990/91,3.0,0.0
42,Mexico,1990/91,4674.245,3300.245
43,Nepal,1990/91,,0.0
44,Nicaragua,1990/91,461.07800000000003,427.07800000000003
45,Nigeria,1990/91,29.19,1.69
46,Panama,1990/91,214.987,151.987
47,Sierra Leone,1990/91,42.783,33.783
48,Sri Lanka,1990/91,95.87,29.203000000000003
49,Thailand,1990/91,757.0169999999999,569.0169999999999
