,store,city,stateprovince,country
0,47370-257954,Andorra la Vella,7,AD
1,22331-212325,Ajman,AJ,AE
2,47089-256771,Ajman,AJ,AE
3,22126-218024,Abu Dhabi,AZ,AE
4,17127-178586,Abu Dhabi,AZ,AE
5,17688-182164,Abu Dhabi,AZ,AE
6,18182-182165,Abu Dhabi,AZ,AE
7,23359-229184,Abu Dhabi,AZ,AE
8,30781-99022,Abu Dhabi,AZ,AE
9,20423-205465,Abu Dhabi,AZ,AE
10,20424-205466,Abu Dhabi,AZ,AE
11,1579-122101,Abu Dhabi,AZ,AE
12,32595-122105,Abu Dhabi,AZ,AE
13,24191-236428,Abu Dhabi,AZ,AE
14,24604-238367,Abu Dhabi,AZ,AE
15,32029-110804,Abu Dhabi,AZ,AE
16,29560-238539,Abu Dhabi,AZ,AE
17,32239-100001,Abu Dhabi,AZ,AE
18,31719-103601,Abu Dhabi,AZ,AE
19,20008-200004,Abu Dhabi,AZ,AE
20,32767-131566,Abu Dhabi,AZ,AE
21,3886-141408,Abu Dhabi,AZ,AE
22,29539-254261,Abu Dhabi,AZ,AE
23,28809-251348,Abu Dhabi,AZ,AE
24,34262-62540,Abu Dhabi,AZ,AE
25,3178-141407,Abu Dhabi,AZ,AE
26,34260-17877,Abu Dhabi,AZ,AE
27,21605-213406,Abu Dhabi,AZ,AE
28,1935-141406,Abu Dhabi,AZ,AE
29,20113-195784,Abu Dhabi,AZ,AE
30,34227-33225,Abu Dhabi,AZ,AE
31,17361-180588,Abu Dhabi,AZ,AE
32,15938-165686,Abu Dhabi,AZ,AE
33,16453-170544,Abu Dhabi,AZ,AE
34,24085-235545,Abu Dhabi,AZ,AE
35,24932-239347,Abu Dhabi,AZ,AE
36,18469-188844,Abu Dhabi,AZ,AE
37,28810-251346,Abu Dhabi,AZ,AE
38,1897-120044,Abu Dhabi,AZ,AE
39,20772-207664,Abu Dhabi,AZ,AE
40,2176-143834,Abu Dhabi,AZ,AE
41,18530-169885,Abu Dhabi,AZ,AE
42,24931-239348,Abu Dhabi,AZ,AE
43,29306-253248,Al Ain,AZ,AE
44,17291-169884,Al Ain,AZ,AE
45,32640-131563,Al Ain,AZ,AE
46,34332-97778,Al Ain,AZ,AE
47,16257-166109,Al Ain,AZ,AE
48,1926-141411,Al Ain,AZ,AE
49,24510-238164,Al Ain,AZ,AE
50,17788-183965,Al Ain,AZ,AE
51,22963-226644,Abu Dhabi,DU,AE
52,23197-228761,Abu Dhabi,DU,AE
53,23549-231166,Abu Dhabi,DU,AE
54,15060-156348,Al Barsha,DU,AE
55,34291-80114,Dubai,DU,AE
56,27072-246650,Dubai,DU,AE
57,18751-188904,Dubai,DU,AE
58,18857-187024,Dubai,DU,AE
59,28908-251804,Dubai,DU,AE
60,32250-107405,Dubai,DU,AE
61,34211-17922,Dubai,DU,AE
62,34315-87671,Dubai,DU,AE
63,23213-228760,Dubai,DU,AE
64,30780-154130,Dubai,DU,AE
65,25406-240945,Dubai,DU,AE
66,32329-111864,Dubai,DU,AE
67,32741-141410,Dubai,DU,AE
68,17787-183964,Dubai,DU,AE
69,3183-143827,Dubai,DU,AE
70,32571-107873,Dubai,DU,AE
71,23973-234507,Dubai,DU,AE
72,32144-123448,Dubai,DU,AE
73,34219-17920,Dubai,DU,AE
74,32476-106835,Dubai,DU,AE
75,7073-204444,Dubai,DU,AE
76,18026-187444,Dubai,DU,AE
77,34284-65720,Dubai,DU,AE
78,32117-116426,Dubai,DU,AE
79,20347-204885,Dubai,DU,AE
80,49595-270099,Dubai,DU,AE
81,32292-111724,Dubai,DU,AE
82,4141-147544,Dubai,DU,AE
83,21600-213424,Dubai,DU,AE
84,47514-254743,Dubai,DU,AE
85,26471-239345,Dubai,DU,AE
86,25879-242844,Dubai,DU,AE
87,6137-116711,Dubai,DU,AE
88,3173-122109,Dubai,DU,AE
89,23212-228759,Dubai,DU,AE
90,34335-97976,Dubai,DU,AE
91,1801-136467,Dubai,DU,AE
92,31199-104340,Dubai,DU,AE
93,31853-109684,Dubai,DU,AE
94,28811-251347,Dubai,DU,AE
95,6106-148051,Dubai,DU,AE
96,34317-95971,Dubai,DU,AE
97,32269-114734,Dubai,DU,AE
98,34337-97975,Dubai,DU,AE
99,4143-147546,Dubai,DU,AE
100,30954-99024,Dubai,DU,AE
101,1609-136468,Dubai,DU,AE
102,34249-62099,Dubai,DU,AE
103,23863-233552,Dubai,DU,AE
104,31338-103600,Dubai,DU,AE
105,34209-17918,Dubai,DU,AE
106,34210-16835,Dubai,DU,AE
107,28258-250593,Dubai,DU,AE
108,32523-106836,Dubai,DU,AE
109,24927-239346,Dubai,DU,AE
110,32328-123449,Dubai,DU,AE
111,34292-76574,Dubai,DU,AE
112,26743-245288,Dubai,DU,AE
113,26048-243344,Dubai,DU,AE
114,32714-122107,Dubai,DU,AE
